Broader: -
(147.1390361285146, -41.541258612694776)
(147.15176072967404, -41.546560529844555)
(147.15494187996387, -41.535956695544996)
(147.16236456397348, -41.528534011535385)
(147.17827031542276, -41.525352861245494)
(147.18887414972232, -41.52429247781555)
(147.2069006680315, -41.52641324467544)
(147.21220258518122, -41.53489631211505)
(147.23341025378022, -41.53277554525516)
(147.24507447061035, -41.52217171095566)
(147.26310098891952, -41.523232094385605)
(147.28218789065875, -41.523232094385605)
(147.30021440896792, -41.521111327525716)
(147.30763709297753, -41.51474902694599)
(147.3394485958761, -41.51686979380588)
(147.35747511418526, -41.525352861245494)
(147.36383741476493, -41.55080206356433)
(147.35005243017554, -41.564587048153726)
(147.35747511418526, -41.582613566462896)
(147.36701856505476, -41.59745893358286)
(147.3786827818849, -41.608062767882416)
(147.40095083391395, -41.61972698561186)
(147.39776968362412, -41.6345723536312)
(147.4020112173439, -41.653659255370314)
(147.39670930019406, -41.668504623389595)
(147.38292431560478, -41.68228960797899)
(147.38504508246467, -41.69289344227849)
(147.41049428478345, -41.7013765097181)
(147.43806425396224, -41.707738810297826)
(147.45397000541152, -41.72046341145722)
(147.4560907722714, -41.73424839514729)
(147.46139268942113, -41.74909376316657)
(147.47623805744047, -41.74167107915696)
(147.4815399745902, -41.72682571203694)
(147.48790227516997, -41.715161494307495)
(147.49956649289936, -41.72682571203694)
(147.50168725975925, -41.74061069572696)
(147.49850610946942, -41.751214530026516)
(147.50592879347914, -41.771361815195576)
(147.51229109315943, -41.78408641635497)
(147.50592879347914, -41.796811017514415)
(147.51017032719892, -41.809535618673806)
(147.52183454402905, -41.81589791925353)
(147.53667991204838, -41.83180367070281)
(147.53774029547833, -41.853011339301815)
(147.52819684460871, -41.85937363988154)
(147.52183454402905, -41.86997747328172)
(147.53667991204838, -41.880581307581224)
(147.56424988122706, -41.885883224731)
(147.5907594669759, -41.88906437502084)
(147.59394061726573, -41.901788976180285)
(147.58651793325612, -41.91769472762951)
(147.58439716639623, -41.92935894535901)
(147.5769744823865, -41.94102316308846)
(147.58439716639623, -41.95374776424785)
(147.59394061726573, -41.96859313226719)
(147.5790952492464, -41.97177428255708)
(147.5631894977971, -41.976015816276856)
(147.57591409895656, -41.9876800340063)
(147.60348406813534, -42.01100846856593)
(147.609846368715, -42.02797460344516)
(147.6024236847054, -42.04069920460455)
(147.59394061726573, -42.052363422334054)
(147.58227639953623, -42.059786106343665)
(147.57803486581645, -42.070389940643224)
(147.59181985040584, -42.07569185779295)
(147.60136330127546, -42.08205415837267)
(147.6140879024348, -42.088416458952395)
(147.6119671355749, -42.09583914296206)
(147.60560483499523, -42.10538259383162)
(147.60136330127546, -42.113865661271234)
(147.6045444515653, -42.12340911214079)
(147.59924253441545, -42.13295256301035)
(147.58545754982617, -42.13295256301035)
(147.5769744823865, -42.14779793013031)
(147.57379333209667, -42.15946214785981)
(147.565310264657, -42.162643298149646)
(147.56212911436717, -42.16900559872937)
(147.54940451320783, -42.16900559872937)
(147.53880067890827, -42.15946214785981)
(147.52819684460871, -42.152039463850144)
(147.51971377716916, -42.14037524612064)
(147.51123071062887, -42.139314862690696)
(147.51123071062887, -42.148858313560254)
(147.50804956033903, -42.15840176442987)
(147.51441186001944, -42.172186749019204)
(147.52501569431888, -42.18491135017865)
(147.5345591451885, -42.19763595133804)
(147.53349876175855, -42.208239785637545)
(147.5133514765895, -42.211420935927435)
(147.49744572603947, -42.208239785637545)
(147.4719965237207, -42.2071794022076)
(147.45184923855163, -42.20505863534771)
(147.4253396528028, -42.18703211703854)
(147.41049428478345, -42.18915288389843)
(147.40519236763373, -42.20187748505782)
(147.39670930019406, -42.21884361993705)
(147.3882262327545, -42.22202477022694)
(147.37126009877466, -42.206119018777656)
(147.3606562644751, -42.1965755679081)
(147.34475051302582, -42.18703211703854)
(147.32672399471664, -42.17854904959893)
(147.32036169413698, -42.166884831869424)
(147.31293901012725, -42.152039463850144)
(147.31293901012725, -42.12977141272046)
(147.32036169413698, -42.11280527784123)
(147.31718054384703, -42.10432221040162)
(147.30975785983742, -42.08947684238234)
(147.3023351758278, -42.08205415837267)
(147.2906709580983, -42.06932955721328)
(147.2768859735089, -42.05554457262389)
(147.2673425226394, -42.03645767088477)
(147.26310098891952, -42.02055191943549)
(147.2556783049099, -42.00464616798621)
(147.2577990717698, -41.98449888371647)
(147.25461792147996, -41.97071389912708)
(147.24083293778995, -41.95904968139763)
(147.2281083366305, -41.94632508023824)
(147.21114220175127, -41.93254009564885)
(147.20584028460155, -41.916634344199565)
(147.20265913431172, -41.89012475845078)
(147.18993453315227, -41.87209824014161)
(147.17614954856288, -41.87952092415128)
(147.174028781703, -41.860434023311484)
(147.15494187996387, -41.84983018901198)
(147.13267382793492, -41.84558865529215)
(147.11994922677547, -41.8445282718622)
(147.10404347622546, -41.83604520442259)
(147.08495657448634, -41.837105587852534)
(147.07965465733662, -41.82968290384292)
(147.06480928931728, -41.822260219833254)
(147.03405816984878, -41.81907906954336)
(146.985280532071, -41.812716768963696)
(146.9513482632118, -41.79999216780425)
(146.9163556100234, -41.791509100364635)
(146.8972687082843, -41.76924104833569)
(146.89196679113456, -41.751214530026516)
(146.89620832485434, -41.733188011717345)
(146.90363100886407, -41.72046341145722)
(146.90257062543412, -41.69501420913838)
(146.8930271745645, -41.67698769082921)
(146.88878564084473, -41.65684040566015)
(146.8718195059655, -41.63775350392103)
(146.85697413794617, -41.628210053051475)
(146.8410683864969, -41.61124391817225)
(146.78274729874886, -41.584734333322785)
(146.76578116386963, -41.58155318303295)
(146.73396966097118, -41.564587048153726)
(146.73290927754124, -41.541258612694776)
(146.74775464556046, -41.53807746240494)
(146.77108308101947, -41.54019822926483)
(146.79441151647836, -41.530654778395274)
(146.80607573420787, -41.517930177235826)
(146.81031726792764, -41.50414519264649)
(146.81031726792764, -41.485058290907375)
(146.81773995193726, -41.46915253945809)
(146.82940416966676, -41.459609089487856)
(146.85591375451622, -41.463850622308314)
(146.87287988939545, -41.459609089487856)
(146.89938947514418, -41.4606694729178)
(146.9089329260138, -41.44476372146852)
(146.9163556100234, -41.42461643629946)
(146.94074442891235, -41.405529534560344)
(146.95240864664174, -41.40871068485018)
(146.97255593181092, -41.43309950373907)
(146.97997861492115, -41.45218640547819)
(146.9948239829405, -41.467031772598204)
(147.0022466669502, -41.4903602080571)
(147.01921280182944, -41.503084809216546)
(147.04254123728833, -41.50838672636627)
(147.06586967274723, -41.50838672636627)
(147.07965465733662, -41.52429247781555)
(147.09450002535596, -41.535956695544996)
(147.12843229421503, -41.546560529844555)
(147.1390361285146, -41.541258612694776)
(145.34760166378578, -38.00881280966337)
(145.35467665999988, -38.0058338638417)
(145.3673371790676, -38.005089127161455)
(145.37739112110341, -38.00769570509266)
(145.38744506223986, -38.0129088600558)
(145.39191348052282, -38.0173772783387)
(145.3904240080616, -38.0244522745528)
(145.38744506223986, -38.030782534086654)
(145.38744506223986, -38.03599568904974)
(145.39079637595205, -38.042325948583596)
(145.3960095309152, -38.04195357979381)
(145.402339790449, -38.03748516151097)
(145.41053189123386, -38.033016743228075)
(145.415745046197, -38.02854832494518)
(145.4213305690506, -38.02743122037447)
(145.43287398354755, -38.03003779740641)
(145.44218318890307, -38.03376147990832)
(145.45000292179748, -38.03599568904974)
(145.46340817754538, -38.03934700276193)
(145.47420685536213, -38.03971937065239)
(145.48575026985918, -38.036740425730045)
(145.49021868814202, -38.035250952369495)
(145.5013897347485, -38.036740425730045)
(145.50958183553337, -38.038974634871465)
